Bot Name,Average Score For,Total Score For,Average Score Against,Total Score Against
Always Cooperate,2.41,723,3.3933333333333335,1018
Always Defect,2.61,1044,0.5975,239
Random,2.9,290,1.95,195
Tit for Tat,2.645,529,2.645,529
